timestamp;time_ms_chords;time_ms_improvisor;info_chords;info_improvisor;size_bytes_chords;size_bytes_improvisor;size_bytes_sent_to_client
2026-02-10T11:03:54.457Z;467;1762;Fmin|BA|2;John Coltrane|251|3408;248;3441;3719
2026-02-10T11:03:56.081Z;419;1195;Ab|AABA|2;John Coltrane|182|3088;256;3121;3407
2026-02-10T11:03:57.651Z;404;1160;G|ABC|3;John Coltrane|190|3632;316;3665;4011
2026-02-10T11:03:59.450Z;473;1316;Db|AABA|2;John Coltrane|245|2532;218;2565;2813
2026-02-10T11:04:01.316Z;500;1360;F|AB|2;John Coltrane|237|2580;206;2613;2849
2026-02-10T11:04:03.243Z;515;1406;Eb|ABCA|3;John Coltrane|90|4288;317;4321;4668
2026-02-10T11:04:05.091Z;501;1338;Eb|AA|1;John Coltrane|180|2016;148;2049;2227
2026-02-10T11:04:07.102Z;556;1450;Bb|AABA|2;John Coltrane|127|5040;283;5073;5386
2026-02-10T11:04:09.065Z;529;1427;F|ABAC|3;John Coltrane|214|2920;267;2953;3250
2026-02-10T11:04:11.043Z;535;1434;C|AB|2;John Coltrane|170|4176;235;4209;4474
2026-02-10T11:04:13.063Z;550;1462;Bb|A|1;John Coltrane|181|2932;180;2965;3175
2026-02-10T11:04:15.141Z;557;1515;Eb|AABA|2;John Coltrane|246|3660;269;3693;3992
2026-02-10T11:04:16.819Z;452;1218;G|AAAB|2;John Coltrane|261|3092;261;3125;3416
2026-02-10T11:04:18.463Z;437;1202;Eb|AA|1;John Coltrane|120|1668;118;1701;1849
2026-02-10T11:04:20.061Z;434;1158;G|AABA|2;John Coltrane|218|2404;228;2437;2695
2026-02-10T11:04:21.810Z;455;1288;Cmin|ABAD|3;John Coltrane|277|4248;382;4281;4693
2026-02-10T11:04:23.430Z;414;1198;G|ABCA|3;John Coltrane|276|4944;375;4977;5382
2026-02-10T11:04:25.026Z;417;1173;Eb|BACA|3;John Coltrane|120|6576;327;6609;6966
2026-02-10T11:04:26.647Z;414;1201;Fmin|AA|1;John Coltrane|109|1768;144;1801;1975
2026-02-10T11:04:28.089Z;391;1047;C|AA|1;John Coltrane|136|1596;128;1629;1787
2026-02-10T11:04:29.920Z;463;1361;Bb|AABA|2;John Coltrane|289|2804;223;2837;3090
2026-02-10T11:04:32.120Z;529;1665;Dmin|AABA|2;John Coltrane|281|2620;212;2653;2895
2026-02-10T11:04:34.075Z;568;1382;Bb|ABAC|3;John Coltrane|244|2884;267;2917;3214
2026-02-10T11:04:36.178Z;494;1601;Eb|A|1;John Coltrane|278|1144;134;1177;1341
2026-02-10T11:04:38.108Z;489;1436;Bb|AABA|2;John Coltrane|176|3856;278;3889;4197
2026-02-10T11:04:39.959Z;507;1336;Bb|AAB|2;John Coltrane|136|3772;244;3805;4079
2026-02-10T11:04:41.885Z;488;1431;Bb|ABAC|3;John Coltrane|160|5952;381;5985;6396
