key;structure;modulation;num_sections;response_size_bytes;response_json;computation_time_ms
Random;A;Random;1;156;{""key"":""Bbmin"",""structure"":""A"",""sections"":[{""chords"":""Am7b5|D7b9|Gm7|Gm7|C7|F7|Bbm|Abm|Bbm|Bbm|Ebm7b5|Ab7|Gb7|F7b9|Ab7sus|D7b9"",""label"":""A"",""key"":""Bbmin""}]};773
Random;A;Random;1;133;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""F7,Bb|Fmaj7,Bbm7|Eb7,Dm7|G7,C7|Gm7,C7|C7,F6|C7,Am7|Bbmaj7"",""label"":""A"",""key"":""F""}]};758
Random;A;Random;1;106;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Ebmaj7|Am7b5|D7b9|Gm7|C9|Gb9"",""label"":""A"",""key"":""Eb""}]};806
Random;A;Random;1;124;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Ab|A|F#7|Bmaj7|Abmaj7|Dbmaj7|D07|Abmaj7,Abmaj7"",""label"":""A"",""key"":""Ab""}]};796
Random;A;Random;1;152;{""key"":""G"",""structure"":""A"",""sections"":[{""chords"":""Cmaj7|C#m7b5|F#7b13|Bm7,E7|A7|Em7|A7|Am7|D7|Gmaj7|Cm6|Gmaj7|C7|Am7,D7|G6|Am7"",""label"":""A"",""key"":""G""}]};799
Random;A;Random;1;172;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Bbm7|Eb7|Eb7|Eb7|Bbm7|Eb7|Ab6|Cm7b5,F13b9|Bbm7b5,Eb7|Abmaj7,Bb7|Bb7|Eb7|Ab7,Db7|Bb7,Eb7|Abmaj7"",""label"":""A"",""key"":""Ab""}]};775
Random;A;Random;1;130;{""key"":""D"",""structure"":""A"",""sections"":[{""chords"":""Dmaj7,Em7|A7,F#7|F#7,Bmaj7|Bbm7,Eb7|Dmaj7,Dmaj7|Em7,A7"",""label"":""A"",""key"":""D""}]};795
Random;A;Random;1;175;{""key"":""G"",""structure"":""A"",""sections"":[{""chords"":""Em7|A7|D7|Gmaj7|D7sus|Gmaj7|D7#5|Gmaj7|D|Gmaj7|G7|D7|Am7|D7|G6|C7|Bm7b5|E7b9|A7|Am7|D7|G6|Am7|D7sus"",""label"":""A"",""key"":""G""}]};746
Random;A;Random;1;111;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""Fmaj7|Am7|D7|Gm7|C7,Fmaj7|A7,D7|Gm7"",""label"":""A"",""key"":""F""}]};768
Random;A;Random;1;143;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""C6,C7|C7,Fmaj7|F#m7b5,B7b9|Em7,A7|Dm7,G7|C7,F6|F#07,G7sus|Cmaj7,Dm7"",""label"":""A"",""key"":""C""}]};811
Random;A;Random;1;143;{""key"":""Cmin"",""structure"":""A"",""sections"":[{""chords"":""Cm7|Cm7|Db7#11|Cm7|Cm7|Ab7|G7b13|Cm7|F7|Ab7|Gm7|C7|Gm7b5|C7b9"",""label"":""A"",""key"":""Cmin""}]};783
Random;A;Random;1;111;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Cmaj7|C6|G7|C6|C6,Dm7|G7,Em7|Dm7|G7"",""label"":""A"",""key"":""C""}]};789
Random;A;Random;1;94;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""Fmaj7,Ab07|Gm7,Am7"",""label"":""A"",""key"":""F""}]};739
